title,artist
NO PROBLEM (Feat. Felix of Stray Kids),"NAYEON, Felix of Stray Kids"
SMILEY(Feat. BIBI),"YENA, BIBI"
NUNU NANA,Jessi
Ready to love,SEVENTEEN
Hot Sauce,NCT DREAM
Red Flavor,Red Velvet
GingaMingaYo (the strange world),Billlie
Secret Story of the Swan,IZ*ONE
I Need The Light,ENHYPEN
BBoom BBoom,MOMOLAND
I'm Not Cool,HyunA
Cold Blooded,Jessi
DM,fromis_9
Rollin',Brave Girls
Pirate,EVERGLOW
LATATA,(G)I-DLE
Killing Me,CHUNG HA
XOXO,JEON SOMI
Nonstop,OH MY GIRL
KISS,TRI.BE
Stay This Way,fromis_9
DUMDi DUMDi,(G)I-DLE
Ah puh,IU
Make A Wish (Birthday Song),NCT U
