TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Amour D'oiseau,La Nature,5HUvWmP7XJ6vpzdmMBBZle,https://i.scdn.co/image/ab67616d0000b2735523ad2171a63d8c36c0161d,https://open.spotify.com/track/5HUvWmP7XJ6vpzdmMBBZle,https://p.scdn.co/mp3-preview/158f846658c941f5556352335eec0d5d3d707792?cid=4598e66debe040afa4e5e77d7f33ee1d,0.982,0.154,0.00828
Cool Air & Rain,Why Wynne,5mhS5BXqC8InFDFvmvH8WH,https://i.scdn.co/image/ab67616d0000b2737b597ab412fe9eaeeafe9ece,https://open.spotify.com/track/5mhS5BXqC8InFDFvmvH8WH,https://p.scdn.co/mp3-preview/bcaa00a7086ac057b02d5eb2af982945c1c329ee?cid=4598e66debe040afa4e5e77d7f33ee1d,0.893,0.107,1e-05
Wildlife Paradise,Shorenights,4qcjA5Vy7HwEmgkFPbt51A,https://i.scdn.co/image/ab67616d0000b273c04d279fa21d21f4b00c14b7,https://open.spotify.com/track/4qcjA5Vy7HwEmgkFPbt51A,https://p.scdn.co/mp3-preview/851ba8014142a6b1444be0261995c6143d1658f7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.553,0.372,0.0399
Bird-watching,Swedish Forest Birds,3dxPEV0XTNkhvAqx790nmo,https://i.scdn.co/image/ab67616d0000b273fa294afe69e5570f2691c730,https://open.spotify.com/track/3dxPEV0XTNkhvAqx790nmo,https://p.scdn.co/mp3-preview/d6749a17fb9cc04d763e779677cda360dcb3cf37?cid=4598e66debe040afa4e5e77d7f33ee1d,0.273,0.31,0.228
Forest Meditation,Manaus,5Gs8yP4p8ccqfZun4xmxgR,https://i.scdn.co/image/ab67616d0000b273066c7ac671824552b9c6b3ba,https://open.spotify.com/track/5Gs8yP4p8ccqfZun4xmxgR,https://p.scdn.co/mp3-preview/fd27acdcf72dd4ff79f0879d2e7f1675e7937f2e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.991,0.0915,0.0078
Ocean Calmness,Aqua Mori,3PRHjxciZrPsj9IVyv6sbF,https://i.scdn.co/image/ab67616d0000b2736113ca00ba5f1c3e6f0284fb,https://open.spotify.com/track/3PRHjxciZrPsj9IVyv6sbF,https://p.scdn.co/mp3-preview/c22003cd9e2ad54ce1dba21d7e5637a12782ee5b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.729,0.466,0.0282
Pouring Jungles,Nia Butler,7MAG8i1TD0G4AxP6z0oQml,https://i.scdn.co/image/ab67616d0000b273c4cc200f5069a596214f608e,https://open.spotify.com/track/7MAG8i1TD0G4AxP6z0oQml,https://p.scdn.co/mp3-preview/18dee9c50199650b2141bff99031dc9ab93ca911?cid=4598e66debe040afa4e5e77d7f33ee1d,0.991,0.441,0.0111
Sounds in the nature,Jacob Woods,2XQDWx60U7gXdzzovGIDVc,https://i.scdn.co/image/ab67616d0000b273dd8c3f20b67cf7ed0b397b4e,https://open.spotify.com/track/2XQDWx60U7gXdzzovGIDVc,https://p.scdn.co/mp3-preview/6dfbe6d4ef65e824ed331eca2d43225cd37ac750?cid=4598e66debe040afa4e5e77d7f33ee1d,0.974,0.304,0.0195
Vogelgezwitscher,Berlin Rain,1g6cnSGhFUyP3XIJ1Jku1f,https://i.scdn.co/image/ab67616d0000b2732a4c87056e96b13164bfad4e,https://open.spotify.com/track/1g6cnSGhFUyP3XIJ1Jku1f,https://p.scdn.co/mp3-preview/9d2544bb1076974d255b22cf88789266dd3f0675?cid=4598e66debe040afa4e5e77d7f33ee1d,0.168,0.327,0.481
Springtime (Birds and Rain),Baltic Nature Sounds,0QOriHCerZiKVDkPTRmKjM,https://i.scdn.co/image/ab67616d0000b273b978ac1311338315598df1a0,https://open.spotify.com/track/0QOriHCerZiKVDkPTRmKjM,https://p.scdn.co/mp3-preview/84d5183cd599a441776def04fb50d187433c38fd?cid=4598e66debe040afa4e5e77d7f33ee1d,0.608,0.427,0.2
April Rain,Beatrice Birds,7KB9VZg79SNkaBesrOOJMT,https://i.scdn.co/image/ab67616d0000b2734d4aad459b7004bc0365f95d,https://open.spotify.com/track/7KB9VZg79SNkaBesrOOJMT,https://p.scdn.co/mp3-preview/27a8c6b0cbac5ab0ce2f9102f27f580f7647ac75?cid=4598e66debe040afa4e5e77d7f33ee1d,0.999,0.285,1e-05
Drops Of Skies,Tailormade Rain,7b2LGKVoG029pfEgI0Jnmk,https://i.scdn.co/image/ab67616d0000b27318b3e32ac77fa0e7e86c6a89,https://open.spotify.com/track/7b2LGKVoG029pfEgI0Jnmk,https://p.scdn.co/mp3-preview/73ed53557bc5c562ce5733bcdffc2085083b4e3e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.222,0.166,0.0284
