TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Eat,Zion.T,09Nhl3YQnChjlq8WmJz7FS,https://i.scdn.co/image/ab67616d0000b273c528ea1a7df3d0bfc4ad9610,https://open.spotify.com/track/09Nhl3YQnChjlq8WmJz7FS,https://p.scdn.co/mp3-preview/cdf09b01ea7a8d6f38ad927da62a1f9abf6264b9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.293,0.662,0.297
Song Request 신청곡 (feat. SUGA of BTS),"Lee So Ra, SUGA",6Au7CCNN2wXgCNxdavgxDM,https://i.scdn.co/image/ab67616d0000b2733694e520c30f4eff71742f10,https://open.spotify.com/track/6Au7CCNN2wXgCNxdavgxDM,https://p.scdn.co/mp3-preview/80ae034b79854679741aebe3fa48f523feee6cb7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.59,0.481,0.454
When This Rain Stops,WENDY,6mavVLsxaa4YcPje9qZKcf,https://i.scdn.co/image/ab67616d0000b273d8856d19e1f5784ed643d862,https://open.spotify.com/track/6mavVLsxaa4YcPje9qZKcf,https://p.scdn.co/mp3-preview/4a131a38eda86a5f720f8d0a7ca4ddcef0e7b22e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.521,0.624,0.382
Panorama,LEE CHANHYUK,6faF0N0fecqw3dopttNP9i,https://i.scdn.co/image/ab67616d0000b27310c764163ced0777e83de59f,https://open.spotify.com/track/6faF0N0fecqw3dopttNP9i,https://p.scdn.co/mp3-preview/a9eefa0ff2e9a1dcc79216a2139ad9214ac7fc3b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.724,0.721,0.66
Slow,SOLE,3bHE2Q0boauLBF8iJLUIga,https://i.scdn.co/image/ab67616d0000b2734bc2cfd4ff3436c37b5ad255,https://open.spotify.com/track/3bHE2Q0boauLBF8iJLUIga,https://p.scdn.co/mp3-preview/21c8029e6e902c83bdfa6228e0bf73005c2fb464?cid=4598e66debe040afa4e5e77d7f33ee1d,0.397,0.399,0.306
Blueming,IU,4Dr2hJ3EnVh2Aaot6fRwDO,https://i.scdn.co/image/ab67616d0000b273b658276cd9884ef6fae69033,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO,https://p.scdn.co/mp3-preview/e610fc1f321c7f3b1edac4eb5cb213bdad4c2ce5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.674,0.819,0.682
To You My Light (feat. Lee Raon),"MAKTUB, Leeraon",5kPpA4aMFeAQnahSnTIOi4,https://i.scdn.co/image/ab67616d0000b273a34313b09d793a86351505b8,https://open.spotify.com/track/5kPpA4aMFeAQnahSnTIOi4,https://p.scdn.co/mp3-preview/4f49e3728c68e978c165bfd4fa13187d9fff0597?cid=4598e66debe040afa4e5e77d7f33ee1d,0.573,0.509,0.305
Superstar,Mido and Falasol,20BE9EAAuma1el03cT4bH6,https://i.scdn.co/image/ab67616d0000b273a2e9582f880916f8580c8811,https://open.spotify.com/track/20BE9EAAuma1el03cT4bH6,https://p.scdn.co/mp3-preview/84e7e31ec2e7e8aacca31fc4707079e71f26acbc?cid=4598e66debe040afa4e5e77d7f33ee1d,0.666,0.7,0.403
TOMBOY,HYUKOH,6DA7kCWYMggJjqPM84V2Ng,https://i.scdn.co/image/ab67616d0000b2736b0b72f94905f2321564a20f,https://open.spotify.com/track/6DA7kCWYMggJjqPM84V2Ng,https://p.scdn.co/mp3-preview/887f4a005c29fa13ef6fdfa791e9efa7c8ad7a16?cid=4598e66debe040afa4e5e77d7f33ee1d,0.431,0.301,0.221
Today's Mood,CHEEZE,4v1WbXCkegXLnHTXPe7yzx,https://i.scdn.co/image/ab67616d0000b273e6def35427614f73e05cc57b,https://open.spotify.com/track/4v1WbXCkegXLnHTXPe7yzx,https://p.scdn.co/mp3-preview/e999e75c68becec638a26c9d3a0e1d3d5208afd1?cid=4598e66debe040afa4e5e77d7f33ee1d,0.719,0.652,0.593
Stars,Rothy,5vMmRDWrRsogNA6xm916nq,https://i.scdn.co/image/ab67616d0000b2732a4354207156a93b78c28d5f,https://open.spotify.com/track/5vMmRDWrRsogNA6xm916nq,https://p.scdn.co/mp3-preview/1c1ffd6928ad44a6d764f4f8af59be4aa2dfb230?cid=4598e66debe040afa4e5e77d7f33ee1d,0.635,0.519,0.129
Take You Home,BAEKHYUN,54Nx0KMNIIA0tAPewmd69X,https://i.scdn.co/image/ab67616d0000b2733c1ccc5a2d5ef4df8d0d20dc,https://open.spotify.com/track/54Nx0KMNIIA0tAPewmd69X,https://p.scdn.co/mp3-preview/bd7fe3a2ad5c70c1daddb50935aa015906cbc972?cid=4598e66debe040afa4e5e77d7f33ee1d,0.622,0.633,0.278
Palette (feat. G-DRAGON),"IU, G-DRAGON",3y7ByLZ05tluscOTRgEJ9Y,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,https://open.spotify.com/track/3y7ByLZ05tluscOTRgEJ9Y,https://p.scdn.co/mp3-preview/10a662ecda4f13df195dc2a49417e1d56f4780f9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.68,0.804,0.62
