TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
"Drivin’ (Feat. Layone, BIG Naughty)","Kim Seungmin, Layone, BIG Naughty",1x8waytyN4BfxrkuoQsBRT,https://i.scdn.co/image/ab67616d0000b27395bb4ffff58d37b26f7bab31,https://open.spotify.com/track/1x8waytyN4BfxrkuoQsBRT,https://p.scdn.co/mp3-preview/cddf559dffe503e23776d4b3c04bd31482eb79ad?cid=4598e66debe040afa4e5e77d7f33ee1d,0.734,0.844,0.444
BOKE,CIKI,3Rt7BjFHnJ4QxBGT897Vs2,https://i.scdn.co/image/ab67616d0000b27346897e1fed970fc9a7ea6202,https://open.spotify.com/track/3Rt7BjFHnJ4QxBGT897Vs2,https://p.scdn.co/mp3-preview/b6c33aaae176c4428754e9e83c0cc534333829c6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.488,0.802,0.496
Thief (Feat. MINNIE of (G)I-DLE),"HEIZE, MINNIE",7jSs3iUhwTbo03BTuzmdvY,https://i.scdn.co/image/ab67616d0000b27345c3e1eaeaed3345abae9616,https://open.spotify.com/track/7jSs3iUhwTbo03BTuzmdvY,https://p.scdn.co/mp3-preview/ca93f7def7ab9d0d7abee9c458ffbd2a8713ae5a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.503,0.814,0.393
California Love (feat. JENO of NCT),"DONGHAE, JENO",4nXCajkpZro4iPbfD7Oj4F,https://i.scdn.co/image/ab67616d0000b27352400652c5aea66d8fbf2894,https://open.spotify.com/track/4nXCajkpZro4iPbfD7Oj4F,https://p.scdn.co/mp3-preview/57d6254d66c9d9d29384f4e7e4d6baebd13a2bd1?cid=4598e66debe040afa4e5e77d7f33ee1d,0.83,0.693,0.503
Not Bad (feat. Dawon),"015B, Dawon",2NQJBaeX4YuZlQveSIRIyT,https://i.scdn.co/image/ab67616d0000b2739855bbeb40521113a9096cc1,https://open.spotify.com/track/2NQJBaeX4YuZlQveSIRIyT,https://p.scdn.co/mp3-preview/a1171e21de57bd746fc16082c81ba1d44af4fe7d?cid=4598e66debe040afa4e5e77d7f33ee1d,0.47,0.728,0.41
Like a Diamond (With. Stella Jang),"KangHyeWon, Stella Jang",7l6Apaxjjt4cJgiBJ20kGG,https://i.scdn.co/image/ab67616d0000b273e02cde43aa7145855665c704,https://open.spotify.com/track/7l6Apaxjjt4cJgiBJ20kGG,https://p.scdn.co/mp3-preview/8c4f0bb11924b65b0cc9cc6077c7701699e75988?cid=4598e66debe040afa4e5e77d7f33ee1d,0.549,0.742,0.398
babyblue,Grass,0n4dgPfvfdqrt2LwDytMrD,https://i.scdn.co/image/ab67616d0000b27372054b56bb8913b16377e5bb,https://open.spotify.com/track/0n4dgPfvfdqrt2LwDytMrD,https://p.scdn.co/mp3-preview/e246d7beda86a456e8b6e1c3a0d99bc193a4b9a2?cid=4598e66debe040afa4e5e77d7f33ee1d,0.259,0.67,0.403
Cloudy,PENOMECO,4S3eMpe0adhssyj8N7nWoR,https://i.scdn.co/image/ab67616d0000b273a9b6213a650fad418a6cfdb5,https://open.spotify.com/track/4S3eMpe0adhssyj8N7nWoR,https://p.scdn.co/mp3-preview/0752b9f1686899b06eedcdae39271226da0ac62a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.531,0.747,0.732
All I Have,soowoo,6GJJ8nmShJUDSIyyjl9yqv,https://i.scdn.co/image/ab67616d0000b273b56e76f35572927131140b0f,https://open.spotify.com/track/6GJJ8nmShJUDSIyyjl9yqv,https://p.scdn.co/mp3-preview/f702d92c13ac327dc51b7a93132976ab5abaebe4?cid=4598e66debe040afa4e5e77d7f33ee1d,0.506,0.607,0.532
Je N′aime Que Toi,oftn,5ziZpT9la4h3sjfvitLc1A,https://i.scdn.co/image/ab67616d0000b27346edd2308442304bcc133fc4,https://open.spotify.com/track/5ziZpT9la4h3sjfvitLc1A,https://p.scdn.co/mp3-preview/57d240a8206205464377768765e6877c49b3f91b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.623,0.593,0.448
Sad ending (Feat. george),"HEIZE, george",6hZoLssqHZJxLbqPu5g30F,https://i.scdn.co/image/ab67616d0000b27345c3e1eaeaed3345abae9616,https://open.spotify.com/track/6hZoLssqHZJxLbqPu5g30F,https://p.scdn.co/mp3-preview/9a988ffb2e2d07a650d29378e8b2f51af130460b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.633,0.779,0.533
BETTER (with MINO),Kang Seung Yoon,4xE1oTctITcdrkddbVafGT,https://i.scdn.co/image/ab67616d0000b273f7b851d008790d80625e1b92,https://open.spotify.com/track/4xE1oTctITcdrkddbVafGT,https://p.scdn.co/mp3-preview/4e071a9a6a92b2933d2b43df9793d085c3b91552?cid=4598e66debe040afa4e5e77d7f33ee1d,0.735,0.51,0.548
Kangaroo,Wonstein,1Oi9J5OpJmnZusVBbt2cjo,https://i.scdn.co/image/ab67616d0000b273f308de9e47d0fd531a8c73d5,https://open.spotify.com/track/1Oi9J5OpJmnZusVBbt2cjo,https://p.scdn.co/mp3-preview/964130c97c4196c5514dcda3f6369209e86f07f8?cid=4598e66debe040afa4e5e77d7f33ee1d,0.346,0.802,0.538
#mood,CIKI,4e1Fkgr0liTavbc4ReUJF4,https://i.scdn.co/image/ab67616d0000b2736f10441eda187bfdd60ba3a0,https://open.spotify.com/track/4e1Fkgr0liTavbc4ReUJF4,https://p.scdn.co/mp3-preview/3409e0761c2fefdac2d5ddbb8f1a8c7c69d1258a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.453,0.773,0.407
Hug me tight,Heo Hoy Kyung,72hSGQmtB2M7VGouyZ9Yr4,https://i.scdn.co/image/ab67616d0000b273f9f94b839c1ec3224ed82403,https://open.spotify.com/track/72hSGQmtB2M7VGouyZ9Yr4,https://p.scdn.co/mp3-preview/40ec4aa07a1e81bff3375438b3f44ba99aef1661?cid=4598e66debe040afa4e5e77d7f33ee1d,0.4,0.37,0.133
